date,keyword,value
2023-06-05,김건희,31.00792
2023-06-12,김건희,27.79206
2023-06-19,김건희,49.70923
2023-06-26,김건희,27.44122
2023-07-03,김건희,62.78206
2023-07-10,김건희,100.0
2023-07-17,김건희,82.85021
2023-07-24,김건희,39.39308
2023-07-31,김건희,29.82239
2023-08-07,김건희,25.89925
2023-08-14,김건희,51.66603
2023-08-21,김건희,27.13586
2023-08-28,김건희,29.86224
2023-09-04,김건희,28.79852
2023-09-11,김건희,36.06944
2023-09-18,김건희,30.57738
2023-09-25,김건희,26.18047
2023-10-02,김건희,21.81669
2023-10-09,김건희,27.11004
2023-10-16,김건희,31.94366
2023-10-23,김건희,38.39111
2023-10-30,김건희,20.28089
2023-11-06,김건희,22.60704
2023-11-13,김건희,29.16619
2023-11-20,김건희,47.55821
2023-11-27,김건희,70.51721
2023-12-04,김건희,37.38913
2023-12-11,김건희,51.32249
2023-12-18,김건희,36.33102
2023-12-25,김건희,80.0357
2024-01-01,김건희,49.74403
2024-01-08,김건희,41.71587
2024-01-15,김건희,45.1254
2024-01-22,김건희,74.59415
2024-01-29,김건희,33.99364
2024-02-05,김건희,42.04762
2024-02-12,김건희,25.36318
2024-02-19,김건희,24.76031
2024-02-26,김건희,26.72721
2024-03-04,김건희,17.48265
2024-03-11,김건희,15.89801
2024-03-18,김건희,17.18009
2024-03-25,김건희,19.16777
2024-04-01,김건희,26.49875
2024-04-08,김건희,80.69189
2024-04-15,김건희,39.31955
2024-04-22,김건희,32.02
2024-04-29,김건희,29.24478
2024-05-06,김건희,44.53656
2024-05-13,김건희,67.81945
2024-05-20,김건희,37.04391
2024-05-27,김건희,24.46954
2024-06-03,김건희,46.04935
2023-06-05,김정숙,1.84284
2023-06-12,김정숙,1.67388
2023-06-19,김정숙,1.91975
2023-06-26,김정숙,2.06625
2023-07-03,김정숙,2.53833
2023-07-10,김정숙,3.01883
2023-07-17,김정숙,2.69887
2023-07-24,김정숙,1.6795
2023-07-31,김정숙,2.247
2023-08-07,김정숙,1.68006
2023-08-14,김정숙,2.27563
2023-08-21,김정숙,1.62393
2023-08-28,김정숙,1.61045
2023-09-04,김정숙,1.67388
2023-09-11,김정숙,1.81141
2023-09-18,김정숙,2.48781
2023-09-25,김정숙,1.42914
2023-10-02,김정숙,1.23605
2023-10-09,김정숙,1.13052
2023-10-16,김정숙,1.26411
2023-10-23,김정숙,2.247
2023-10-30,김정숙,1.23773
2023-11-06,김정숙,1.16644
2023-11-13,김정숙,1.73619
2023-11-20,김정숙,1.85912
2023-11-27,김정숙,2.07018
2023-12-04,김정숙,1.88494
2023-12-11,김정숙,1.92985
2023-12-18,김정숙,1.65311
2023-12-25,김정숙,4.91389
2024-01-01,김정숙,10.05175
2024-01-08,김정숙,5.26079
2024-01-15,김정숙,2.40642
2024-01-22,김정숙,3.52515
2024-01-29,김정숙,2.00226
2024-02-05,김정숙,2.30594
2024-02-12,김정숙,4.06122
2024-02-19,김정숙,1.86642
2024-02-26,김정숙,1.76145
2024-03-04,김정숙,1.96746
2024-03-11,김정숙,1.41174
2024-03-18,김정숙,1.23156
2024-03-25,김정숙,1.39266
2024-04-01,김정숙,2.82349
2024-04-08,김정숙,3.45499
2024-04-15,김정숙,2.53272
2024-04-22,김정숙,1.39266
2024-04-29,김정숙,1.29442
2024-05-06,김정숙,2.18806
2024-05-13,김정숙,4.0674
2024-05-20,김정숙,9.03574
2024-05-27,김정숙,8.51483
2024-06-03,김정숙,18.42176
2023-06-05,김혜경,0.74039
2023-06-12,김혜경,0.87736
2023-06-19,김혜경,1.63291
2023-06-26,김혜경,0.72018
2023-07-03,김혜경,0.65338
2023-07-10,김혜경,0.87679
2023-07-17,김혜경,1.02723
2023-07-24,김혜경,0.89027
2023-07-31,김혜경,2.13979
2023-08-07,김혜경,2.81451
2023-08-14,김혜경,1.83162
2023-08-21,김혜경,2.78981
2023-08-28,김혜경,1.3253
2023-09-04,김혜경,1.33316
2023-09-11,김혜경,1.8827
2023-09-18,김혜경,6.51256
2023-09-25,김혜경,2.75276
2023-10-02,김혜경,1.25738
2023-10-09,김혜경,1.72216
2023-10-16,김혜경,5.05478
2023-10-23,김혜경,1.58351
2023-10-30,김혜경,0.79259
2023-11-06,김혜경,1.67837
2023-11-13,김혜경,1.19282
2023-11-20,김혜경,1.16981
2023-11-27,김혜경,0.83357
2023-12-04,김혜경,2.6012
2023-12-11,김혜경,0.96492
2023-12-18,김혜경,1.33428
2023-12-25,김혜경,1.18047
2024-01-01,김혜경,3.00761
2024-01-08,김혜경,1.70307
2024-01-15,김혜경,1.45272
2024-01-22,김혜경,1.19114
2024-01-29,김혜경,1.41343
2024-02-05,김혜경,5.20241
2024-02-12,김혜경,12.58167
2024-02-19,김혜경,5.35622
2024-02-26,김혜경,23.17342
2024-03-04,김혜경,9.0509
2024-03-11,김혜경,2.89646
2024-03-18,김혜경,2.54395
2024-03-25,김혜경,2.71908
2024-04-01,김혜경,2.45919
2024-04-08,김혜경,8.78707
2024-04-15,김혜경,2.67642
2024-04-22,김혜경,3.26806
2024-04-29,김혜경,3.78337
2024-05-06,김혜경,6.06237
2024-05-13,김혜경,1.48247
2024-05-20,김혜경,4.09883
2024-05-27,김혜경,2.19424
2024-06-03,김혜경,2.0859
